team,current_pes,matches_played,goal_difference,goals_for,goals_against,shots_on_target,possession_avg,discipline_penalty,days_since_last_match
Villarreal,100.0,8,6,14,8,41,45.6,5.2,251
Liverpool,100.0,7,4,13,9,30,62.1,4.3,250
Barcelona,100.0,8,13,22,9,69,71.6,2.8,250
Man City,100.0,7,9,15,6,31,57.4,2.9,250
Tottenham,100.0,7,8,13,5,25,55.9,4.3,251
Crystal Palace,100.0,7,4,9,5,36,40.7,4.9,250
Chelsea,100.0,7,4,13,9,34,60.7,7.1,250
Napoli,100.0,6,6,12,6,35,62.5,1.7,250
Roma,100.0,6,5,7,2,28,59.0,2.7,250
Real Madrid,100.0,8,10,19,9,53,62.5,4.8,251
Real Betis,100.0,8,5,13,8,39,50.1,4.2,250
Atletico Madrid,100.0,7,5,14,9,35,54.4,6.3,250
Arsenal,100.0,7,11,14,3,28,58.0,2.6,251
Bologna,100.0,6,4,9,5,22,57.0,3.3,250
AC Milan,100.0,6,6,9,3,28,50.7,4.0,250
Atalanta,100.0,6,6,11,5,29,53.8,3.7,251
Juventus,100.0,6,4,9,5,32,58.8,5.0,250
Inter,100.0,6,9,17,8,37,62.5,2.3,251
Sevilla,99.7,8,4,15,11,26,51.6,6.8,250
Bournemouth,99.6,7,3,11,8,31,51.1,4.6,251
Elche,98.4,8,2,11,9,31,57.8,5.0,250
Lazio,97.1,6,3,10,7,22,49.0,7.0,251
Everton,94.8,7,2,9,7,25,45.9,5.1,250
Alaves,94.4,8,1,9,8,30,50.6,4.5,250
Como,94.0,6,2,7,5,29,58.8,8.7,251
Newcastle,93.9,7,1,6,5,23,49.1,3.7,250
Athletic Club,91.9,9,0,10,10,42,53.9,6.2,251
Sunderland,91.4,7,1,7,6,20,44.0,5.1,251
Espanyol,90.4,8,0,11,11,37,41.6,4.5,250
Real  Sociedad,89.3,1,0,2,2,7,63.0,4.0,292
Aston Villa,88.8,7,-1,6,7,25,57.6,5.1,250
Brighton,88.7,7,0,10,10,30,46.4,6.3,250
Cagliari,88.3,6,0,6,6,20,43.0,4.3,250
Sassuolo,88.0,6,0,8,8,23,43.5,6.0,251
Man United,87.2,7,-2,9,11,34,54.9,3.1,251
Levante,87.0,8,-1,13,14,28,39.0,4.8,251
Osasuna,86.7,8,-1,7,8,21,44.2,5.8,251
Cremonese,86.6,6,-1,7,8,16,43.5,4.3,251
Celta Vigo,86.2,8,-3,7,10,29,54.1,3.2,250
Rayo Vallecano,85.6,8,-2,8,10,32,54.5,6.8,250
Getafe,84.3,8,-2,9,11,22,39.9,5.0,251
Fulham,82.2,7,-3,8,11,23,50.7,4.6,251
Brentford,81.9,7,-3,9,12,28,38.1,4.0,250
Valencia,81.6,8,-4,10,14,28,47.8,4.2,251
Leeds United,79.7,7,-4,7,11,24,45.4,2.9,251
Udinese,79.4,6,-3,6,9,25,50.2,4.7,250
Fiorentina,76.5,6,-4,4,8,16,51.2,3.7,250
Parma,76.4,6,-4,3,7,18,46.0,3.0,251
Real Sociedad,76.2,7,-5,5,10,28,51.0,4.6,250
Mallorca,73.2,8,-6,7,13,31,43.0,7.2,251
Nottm Forest,72.8,7,-7,5,12,28,56.4,4.0,250
Lecce,71.8,6,-5,5,10,17,41.8,4.0,251
Genoa,67.6,6,-6,3,9,17,47.7,6.0,250
Verona,65.2,6,-7,2,9,32,40.0,4.3,251
Burnley,64.8,7,-8,7,15,18,34.6,4.6,250
Torino,63.8,6,-8,5,13,28,45.0,3.7,251
Wolves,63.7,7,-9,5,14,23,46.9,5.4,250
Pisa,63.6,6,-7,3,10,14,36.0,3.7,250
West Ham,61.9,7,-10,6,16,25,45.4,4.3,251
Oviedo,61.5,8,-10,4,14,21,40.1,7.8,251
Girona,56.5,8,-12,5,17,25,45.1,9.2,251
