player_id,team,position,season_apps,season_goals,season_assists,season_xg,current_pes,fitness,form,fatigue,injury_impact,confidence
Manchester_City_P0,Manchester City,GK,15,0,0,0.0,65.5,78.0,78.9,7.9,0,0.6
Manchester_City_P1,Manchester City,LB,22,0,0,1.68,63.7,85.2,76.2,11.6,15,0.75
Manchester_City_P2,Manchester City,RB,36,0,0,1.04,70.4,100.0,79.0,18.9,0,0.75
Manchester_City_P3,Manchester City,CB,29,1,0,3.92,68.7,100.0,79.9,15.3,15,0.75
Manchester_City_P4,Manchester City,LB,37,1,1,3.28,70.9,100.0,78.9,19.5,0,0.75
Manchester_City_P5,Manchester City,RM,36,0,0,2.72,65.2,100.0,79.8,18.9,30,0.75
Manchester_City_P6,Manchester City,CM,26,1,1,3.36,72.4,94.9,83.1,13.7,0,0.75
Manchester_City_P7,Manchester City,LM,20,0,1,1.6,60.4,85.7,73.5,10.5,30,0.6
Manchester_City_P8,Manchester City,RM,22,0,0,3.2,68.4,84.5,82.8,11.6,0,0.75
Manchester_City_P9,Manchester City,LW,36,1,0,2.08,66.7,100.0,75.5,18.9,15,0.75
Manchester_City_P10,Manchester City,RW,25,0,1,1.52,68.7,92.7,75.4,13.2,0,0.75
Manchester_City_P11,Manchester City,CF,27,1,0,3.36,71.9,99.4,79.9,14.2,0,0.75
Manchester_City_P12,Manchester City,ST,27,2,0,6.24,72.3,100.0,79.2,14.2,0,0.75
Manchester_City_P13,Manchester City,LW,18,0,0,2.72,68.8,89.9,76.3,9.5,0,0.6
Manchester_City_P14,Manchester City,RW,31,0,0,2.08,70.4,100.0,76.3,16.3,0,0.75
Manchester_City_P15,Manchester City,CF,31,0,0,4.24,69.1,100.0,82.7,16.3,15,0.75
Manchester_City_P16,Manchester City,ST,35,2,0,7.68,71.2,100.0,78.1,18.4,0,0.75
Manchester_City_P17,Manchester City,LW,32,0,0,1.92,72.3,100.0,83.0,16.8,0,0.75
Manchester_City_P18,Manchester City,RW,30,0,0,0.88,65.5,100.0,80.2,15.8,30,0.75
Manchester_City_P19,Manchester City,CF,30,0,0,7.76,65.9,98.4,81.6,15.8,30,0.75
Manchester_City_P20,Manchester City,ST,22,0,0,3.68,64.0,86.8,76.0,11.6,15,0.75
Manchester_City_P21,Manchester City,LW,24,0,1,2.4,66.7,97.4,73.9,12.6,15,0.75
Manchester_City_P22,Manchester City,RW,34,0,1,0.88,67.4,100.0,77.7,17.9,15,0.75
Manchester_City_P23,Manchester City,CF,34,2,1,3.76,67.0,100.0,83.4,17.9,30,0.75
Manchester_City_P24,Manchester City,ST,23,1,0,3.44,65.2,86.3,79.9,12.1,15,0.75
Manchester_City_P25,Manchester City,LW,23,1,0,3.68,68.8,100.0,77.9,12.1,15,0.75
Manchester_City_P26,Manchester City,RW,21,1,0,1.68,60.2,85.5,72.7,11.1,30,0.75
Manchester_City_P27,Manchester City,CF,31,2,0,2.64,70.5,98.5,77.5,16.3,0,0.75
Manchester_City_P28,Manchester City,ST,15,2,0,6.56,64.9,76.0,74.5,7.9,0,0.6
Manchester_City_P29,Manchester City,LW,20,0,0,0.96,62.5,81.3,86.4,10.5,30,0.6
Manchester_United_P0,Manchester United,GK,22,0,0,0.0,69.7,91.8,81.6,11.6,0,0.75
Manchester_United_P1,Manchester United,LB,36,1,0,0.8,72.4,100.0,84.0,18.9,0,0.75
Manchester_United_P2,Manchester United,RB,32,0,0,3.84,69.9,100.0,75.3,16.8,0,0.75
Manchester_United_P3,Manchester United,CB,36,1,0,5.52,72.3,100.0,83.7,18.9,0,0.75
Manchester_United_P4,Manchester United,LB,18,1,0,3.36,65.8,81.3,83.0,9.5,15,0.6
Manchester_United_P5,Manchester United,RM,17,1,0,3.12,65.4,76.9,77.2,8.9,0,0.6
Manchester_United_P6,Manchester United,CM,31,0,0,2.4,69.2,96.9,76.0,16.3,0,0.75
Manchester_United_P7,Manchester United,LM,25,0,0,3.36,70.0,91.6,80.0,13.2,0,0.75
Manchester_United_P8,Manchester United,RM,24,0,0,2.56,72.0,100.0,79.0,12.6,0,0.75
Manchester_United_P9,Manchester United,LW,26,0,0,3.76,69.3,90.8,79.0,13.7,0,0.75
Manchester_United_P10,Manchester United,RW,18,1,1,3.28,67.7,78.8,81.0,9.5,0,0.6
Manchester_United_P11,Manchester United,CF,23,0,0,3.12,62.3,85.9,81.9,12.1,30,0.75
Manchester_United_P12,Manchester United,ST,29,0,0,7.2,71.6,99.0,80.1,15.3,0,0.75
Manchester_United_P13,Manchester United,LW,33,1,1,1.52,72.4,100.0,81.7,17.4,0,0.75
Manchester_United_P14,Manchester United,RW,20,1,0,2.8,67.1,80.5,79.1,10.5,0,0.6
Manchester_United_P15,Manchester United,CF,19,5,0,4.72,66.3,78.7,75.2,10.0,0,0.6
Manchester_United_P16,Manchester United,ST,30,2,1,4.96,69.8,100.0,81.1,15.8,15,0.75
Manchester_United_P17,Manchester United,LW,37,0,0,0.8,72.2,100.0,85.6,19.5,0,0.75
Manchester_United_P18,Manchester United,RW,32,0,0,1.68,70.6,100.0,78.8,16.8,0,0.75
Manchester_United_P19,Manchester United,CF,33,3,0,5.6,71.6,100.0,77.8,17.4,0,0.75
Manchester_United_P20,Manchester United,ST,32,0,0,4.64,71.8,100.0,81.3,16.8,0,0.75
Manchester_United_P21,Manchester United,LW,28,1,0,2.88,72.0,100.0,79.0,14.7,0,0.75
Manchester_United_P22,Manchester United,RW,24,0,0,3.92,72.8,100.0,82.7,12.6,0,0.75
Manchester_United_P23,Manchester United,CF,35,2,0,4.08,69.6,100.0,83.1,18.4,15,0.75
Manchester_United_P24,Manchester United,ST,15,1,0,3.76,66.3,79.8,76.8,7.9,0,0.6
Manchester_United_P25,Manchester United,LW,27,1,0,1.44,71.6,100.0,79.2,14.2,0,0.75
Manchester_United_P26,Manchester United,RW,31,1,2,2.8,71.7,100.0,77.5,16.3,0,0.75
Manchester_United_P27,Manchester United,CF,28,0,1,5.68,73.4,100.0,84.0,14.7,0,0.75
Manchester_United_P28,Manchester United,ST,32,3,2,7.2,73.1,100.0,80.5,16.8,0,0.75
Manchester_United_P29,Manchester United,LW,26,0,0,3.44,71.8,98.5,80.8,13.7,0,0.75
Liverpool_P0,Liverpool,GK,20,0,0,0.0,65.2,88.5,79.2,10.5,15,0.6
Liverpool_P1,Liverpool,LB,18,1,0,1.12,66.8,81.6,78.8,9.5,0,0.6
Liverpool_P2,Liverpool,RB,29,1,0,3.84,71.1,100.0,76.7,15.3,0,0.75
Liverpool_P3,Liverpool,CB,19,2,0,6.8,65.2,82.2,80.0,10.0,15,0.6
Liverpool_P4,Liverpool,LB,17,1,1,3.92,65.0,82.5,78.1,8.9,15,0.6
Liverpool_P5,Liverpool,RM,22,0,0,3.6,67.1,85.7,76.7,11.6,0,0.75
Liverpool_P6,Liverpool,CM,17,1,0,1.12,64.7,88.0,84.3,8.9,30,0.6
Liverpool_P7,Liverpool,LM,21,1,0,3.12,65.2,83.1,82.0,11.1,15,0.75
Liverpool_P8,Liverpool,RM,31,1,0,0.96,71.3,100.0,79.3,16.3,0,0.75
Liverpool_P9,Liverpool,LW,23,0,1,3.76,69.6,93.0,76.3,12.1,0,0.75
Liverpool_P10,Liverpool,RW,36,0,1,3.44,69.6,100.0,85.1,18.9,15,0.75
Liverpool_P11,Liverpool,CF,37,1,0,3.92,70.1,100.0,76.8,19.5,0,0.75
Liverpool_P12,Liverpool,ST,28,0,0,7.2,71.4,100.0,78.0,14.7,0,0.75
Liverpool_P13,Liverpool,LW,37,0,1,1.36,64.7,100.0,79.5,19.5,30,0.75
Liverpool_P14,Liverpool,RW,27,1,0,1.68,66.1,100.0,79.2,14.2,30,0.75
Liverpool_P15,Liverpool,CF,31,1,0,7.84,72.1,100.0,80.6,16.3,0,0.75
Liverpool_P16,Liverpool,ST,37,0,0,4.96,70.1,100.0,77.5,19.5,0,0.75
Liverpool_P17,Liverpool,LW,30,0,0,1.12,71.0,100.0,79.0,15.8,0,0.75
Liverpool_P18,Liverpool,RW,22,0,0,3.68,72.1,97.2,81.9,11.6,0,0.75
Liverpool_P19,Liverpool,CF,23,2,1,3.12,68.5,85.2,79.6,12.1,0,0.75
Liverpool_P20,Liverpool,ST,28,2,1,2.72,70.6,100.0,84.1,14.7,15,0.75
Liverpool_P21,Liverpool,LW,35,1,0,1.68,71.0,100.0,79.9,18.4,0,0.75
Liverpool_P22,Liverpool,RW,19,1,1,0.8,70.9,86.6,84.8,10.0,0,0.6
Liverpool_P23,Liverpool,CF,36,4,0,6.96,69.6,100.0,80.6,18.9,15,0.75
Liverpool_P24,Liverpool,ST,18,1,0,6.96,66.1,83.8,72.7,9.5,0,0.6
Liverpool_P25,Liverpool,LW,31,3,0,1.76,66.4,100.0,80.5,16.3,30,0.75
Liverpool_P26,Liverpool,RW,34,1,1,2.48,71.4,100.0,79.5,17.9,0,0.75
Liverpool_P27,Liverpool,CF,20,3,0,5.6,68.8,90.1,73.9,10.5,0,0.6
Liverpool_P28,Liverpool,ST,37,0,0,7.52,70.2,100.0,76.9,19.5,0,0.75
Liverpool_P29,Liverpool,LW,16,0,0,1.12,66.2,76.0,82.2,8.4,0,0.6
Arsenal_P0,Arsenal,GK,23,0,0,0.0,68.0,88.9,79.0,12.1,0,0.75
Arsenal_P1,Arsenal,LB,21,0,0,2.72,68.9,86.8,80.8,11.1,0,0.75
Arsenal_P2,Arsenal,RB,37,0,0,3.28,69.8,100.0,76.5,19.5,0,0.75
Arsenal_P3,Arsenal,CB,34,3,1,6.24,70.8,100.0,74.4,17.9,0,0.75
Arsenal_P4,Arsenal,LB,16,2,1,2.4,65.2,84.5,75.2,8.4,15,0.6
Arsenal_P5,Arsenal,RM,19,0,0,0.88,67.0,82.8,78.6,10.0,0,0.6
Arsenal_P6,Arsenal,CM,17,2,0,3.12,62.2,82.4,80.2,8.9,30,0.6
Arsenal_P7,Arsenal,LM,37,0,0,3.76,70.2,100.0,78.0,19.5,0,0.75
Arsenal_P8,Arsenal,RM,16,0,0,0.88,64.4,81.5,80.7,8.4,15,0.6
Arsenal_P9,Arsenal,LW,32,3,0,2.72,71.8,100.0,77.6,16.8,0,0.75
Arsenal_P10,Arsenal,RW,32,0,0,1.12,65.5,100.0,81.2,16.8,30,0.75
Arsenal_P11,Arsenal,CF,27,1,0,5.28,71.9,100.0,79.3,14.2,0,0.75
Arsenal_P12,Arsenal,ST,33,1,0,5.84,71.0,100.0,78.1,17.4,0,0.75
Arsenal_P13,Arsenal,LW,17,0,0,2.24,68.6,83.6,81.8,8.9,0,0.6
Arsenal_P14,Arsenal,RW,23,0,0,2.4,70.8,95.7,80.2,12.1,0,0.75
Arsenal_P15,Arsenal,CF,36,2,0,2.88,70.6,100.0,77.6,18.9,0,0.75
Arsenal_P16,Arsenal,ST,33,2,0,3.84,70.8,100.0,77.2,17.4,0,0.75
Arsenal_P17,Arsenal,LW,17,0,0,1.84,68.3,86.3,79.3,8.9,0,0.6
Arsenal_P18,Arsenal,RW,31,0,0,0.8,72.3,100.0,82.6,16.3,0,0.75
Arsenal_P19,Arsenal,CF,29,0,0,5.6,72.0,100.0,81.1,15.3,0,0.75
Arsenal_P20,Arsenal,ST,35,1,0,6.8,71.1,100.0,78.7,18.4,0,0.75
Arsenal_P21,Arsenal,LW,24,0,1,3.12,67.8,96.0,78.2,12.6,15,0.75
Arsenal_P22,Arsenal,RW,28,0,0,2.56,72.3,100.0,81.4,14.7,0,0.75
Arsenal_P23,Arsenal,CF,24,0,0,5.6,70.0,95.2,77.1,12.6,0,0.75
Arsenal_P24,Arsenal,ST,30,0,0,6.88,68.0,100.0,77.7,15.8,15,0.75
Arsenal_P25,Arsenal,LW,18,1,2,3.2,68.2,80.9,81.4,9.5,0,0.6
Arsenal_P26,Arsenal,RW,19,0,0,1.92,66.7,81.6,77.9,10.0,0,0.6
Arsenal_P27,Arsenal,CF,30,3,0,4.88,73.6,100.0,84.0,15.8,0,0.75
Arsenal_P28,Arsenal,ST,24,3,0,6.96,70.9,100.0,72.2,12.6,0,0.75
Arsenal_P29,Arsenal,LW,21,1,0,2.88,70.1,94.8,76.1,11.1,0,0.75
Chelsea_P0,Chelsea,GK,28,0,0,0.0,66.6,100.0,75.3,14.7,15,0.75
Chelsea_P1,Chelsea,LB,32,0,0,3.36,65.0,100.0,79.6,16.8,30,0.75
Chelsea_P2,Chelsea,RB,34,0,1,3.36,68.7,100.0,79.7,17.9,15,0.75
Chelsea_P3,Chelsea,CB,16,0,0,4.88,69.0,83.2,83.2,8.4,0,0.6
Chelsea_P4,Chelsea,LB,20,0,0,3.76,63.1,88.0,79.3,10.5,30,0.6
Chelsea_P5,Chelsea,RM,37,0,0,3.6,71.0,100.0,80.9,19.5,0,0.75
Chelsea_P6,Chelsea,CM,28,0,1,3.52,69.7,97.4,74.3,14.7,0,0.75
Chelsea_P7,Chelsea,LM,26,0,0,2.32,71.3,100.0,78.6,13.7,0,0.75
Chelsea_P8,Chelsea,RM,34,1,1,3.36,70.1,100.0,74.0,17.9,0,0.75
Chelsea_P9,Chelsea,LW,24,0,0,2.48,68.8,87.1,81.2,12.6,0,0.75
Chelsea_P10,Chelsea,RW,35,0,0,2.16,69.8,100.0,76.8,18.4,0,0.75
Chelsea_P11,Chelsea,CF,34,2,1,4.64,72.3,100.0,80.8,17.9,0,0.75
Chelsea_P12,Chelsea,ST,21,1,1,3.84,71.2,89.3,84.6,11.1,0,0.75
Chelsea_P13,Chelsea,LW,21,1,1,2.16,70.3,90.5,79.4,11.1,0,0.75
Chelsea_P14,Chelsea,RW,31,1,0,1.6,73.0,100.0,84.5,16.3,0,0.75
Chelsea_P15,Chelsea,CF,17,3,2,4.24,66.1,76.4,75.7,8.9,0,0.6
