,current_pes,current_pes,current_pes,current_pes,fatigue,injury_impact
,mean,std,min,max,mean,mean
team,,,,,,
AC Milan,69.83,2.54,64.6,74.8,13.94,7.0
Arsenal,69.29,2.64,62.2,73.6,13.73,4.0
Atletico Madrid,69.71,2.81,61.4,73.9,14.03,4.5
Barcelona,69.36,2.69,61.5,72.9,13.04,6.0
Bayer Leverkusen,69.29,2.97,62.7,73.2,14.78,5.0
Bayern Munich,68.89,3.08,61.2,73.7,14.22,7.0
Borussia Dortmund,68.47,3.1,63.4,72.8,13.17,6.5
Chelsea,69.54,2.4,63.1,73.0,14.54,5.0
Inter Milan,69.43,2.5,62.6,73.0,14.13,4.5
Juventus,68.91,2.56,61.1,72.8,13.17,6.5
Liverpool,68.6,2.57,64.7,72.1,14.01,7.5
Manchester City,67.52,3.4,60.2,72.4,14.24,11.5
Manchester United,70.06,2.73,62.3,73.4,14.36,2.5
Napoli,69.04,2.54,64.2,73.4,12.82,5.5
RB Leipzig,68.83,2.71,60.6,73.8,13.44,4.0
Real Madrid,69.51,2.38,64.6,73.8,13.23,4.5
Roma,68.98,3.59,59.7,73.4,14.56,6.5
Sevilla,68.46,3.13,62.3,73.9,12.18,6.0
Valencia,69.02,3.05,61.1,73.6,13.9,4.5
