player_id,player_name,team,position,age,is_starter,matches_played,minutes_played,goals,assists,yellow_cards,red_cards,recent_form,injury_risk,days_since_match,estimated_energy,confidence,data_source
Brazil_0,Player_0,Brazil,GK,31,True,29,2263,0,0,1,0,2.93,0.473,4,90.9,0.75,synthesized_from_distributions
Brazil_1,Player_1,Brazil,CB,31,True,32,2086,1,1,3,0,0.69,0.243,13,82.9,0.75,synthesized_from_distributions
Brazil_2,Player_2,Brazil,LB,23,True,25,1977,2,0,1,0,-0.44,0.331,12,81.7,0.75,synthesized_from_distributions
Brazil_3,Player_3,Brazil,RB,19,True,24,1701,1,0,0,0,0.45,0.567,6,83.8,0.75,synthesized_from_distributions
Brazil_4,Player_4,Brazil,CB,28,True,32,2496,1,0,0,0,-0.44,0.269,13,85.2,0.75,synthesized_from_distributions
Brazil_5,Player_5,Brazil,CM,24,True,36,3170,0,0,0,0,-0.8,0.203,3,85.3,0.75,synthesized_from_distributions
Brazil_6,Player_6,Brazil,LM,22,True,20,1299,0,2,1,1,-0.12,0.318,8,78.1,0.75,synthesized_from_distributions
Brazil_7,Player_7,Brazil,RM,19,True,29,1836,0,0,2,0,-0.19,0.185,5,82.4,0.75,synthesized_from_distributions
Brazil_8,Player_8,Brazil,AM,25,True,30,2580,0,0,1,0,-1.37,0.194,4,80.9,0.75,synthesized_from_distributions
Brazil_9,Player_9,Brazil,ST,25,True,33,2273,2,0,0,0,-1.98,0.138,9,82.0,0.75,synthesized_from_distributions
Brazil_10,Player_10,Brazil,LW,31,True,27,1706,1,0,0,0,-1.26,0.371,7,81.1,0.75,synthesized_from_distributions
Brazil_11,Player_11,Brazil,RW,36,False,8,514,0,0,2,0,0.64,0.413,5,79.8,0.65,synthesized_from_distributions
Brazil_12,Player_12,Brazil,FW,31,False,18,1138,3,0,4,0,0.34,0.25,4,77.9,0.65,synthesized_from_distributions
Brazil_13,Player_13,Brazil,ST,21,False,10,683,1,1,4,0,-0.21,0.327,6,74.4,0.65,synthesized_from_distributions
Brazil_14,Player_14,Brazil,LW,31,False,19,1319,0,0,1,0,0.98,0.6,12,82.4,0.65,synthesized_from_distributions
Brazil_15,Player_15,Brazil,RW,31,False,8,647,0,0,2,0,1.2,0.143,9,84.2,0.65,synthesized_from_distributions
Brazil_16,Player_16,Brazil,FW,25,False,17,1124,1,0,2,0,-1.03,0.219,1,78.0,0.65,synthesized_from_distributions
Brazil_17,Player_17,Brazil,ST,19,False,16,1108,0,0,1,0,-0.56,0.027,3,83.2,0.65,synthesized_from_distributions
Brazil_18,Player_18,Brazil,LW,30,False,17,1091,1,0,0,0,0.48,0.306,5,85.6,0.65,synthesized_from_distributions
Brazil_19,Player_19,Brazil,RW,24,False,7,536,4,0,3,0,0.22,0.254,11,78.0,0.65,synthesized_from_distributions
Brazil_20,Player_20,Brazil,FW,22,False,10,765,1,0,1,0,-1.06,0.353,12,77.6,0.65,synthesized_from_distributions
Brazil_21,Player_21,Brazil,ST,30,False,15,949,0,0,2,0,-0.92,0.094,3,79.3,0.65,synthesized_from_distributions
Brazil_22,Player_22,Brazil,LW,26,False,17,1316,1,0,0,0,1.46,0.083,13,90.8,0.65,synthesized_from_distributions
Argentina_0,Player_0,Argentina,GK,20,True,16,1055,0,0,0,1,0.23,0.518,13,78.6,0.75,synthesized_from_distributions
Argentina_1,Player_1,Argentina,CB,32,True,26,1756,1,0,2,0,0.8,0.367,14,83.2,0.75,synthesized_from_distributions
Argentina_2,Player_2,Argentina,LB,31,True,29,1835,3,0,3,0,-0.69,0.244,0,78.3,0.75,synthesized_from_distributions
Argentina_3,Player_3,Argentina,RB,23,True,29,2587,0,0,1,1,0.3,0.182,13,81.9,0.75,synthesized_from_distributions
Argentina_4,Player_4,Argentina,CB,19,True,31,2075,0,0,1,0,-0.52,0.63,11,79.2,0.75,synthesized_from_distributions
Argentina_5,Player_5,Argentina,CM,31,True,27,2202,0,1,2,0,-0.83,0.255,9,79.5,0.75,synthesized_from_distributions
Argentina_6,Player_6,Argentina,LM,36,True,18,1551,0,0,2,0,-0.45,0.125,3,80.8,0.75,synthesized_from_distributions
Argentina_7,Player_7,Argentina,RM,23,True,30,1861,0,1,0,0,-1.31,0.047,4,84.6,0.75,synthesized_from_distributions
Argentina_8,Player_8,Argentina,AM,22,True,36,2278,0,0,0,0,-0.03,0.067,8,89.0,0.75,synthesized_from_distributions
Argentina_9,Player_9,Argentina,ST,34,True,25,1650,0,0,1,0,-0.22,0.143,2,84.2,0.75,synthesized_from_distributions
