team,pes_mean,pes_std,pes_min,pes_max,confidence,injury_risk,matches_avg
Argentina,96.25,3.59,85.22,100.0,0.65,0.29,19.57
Australia,95.61,3.96,84.66,100.0,0.65,0.29,19.61
Austria,96.33,2.6,91.06,100.0,0.65,0.29,19.39
Belgium,96.03,2.86,89.93,100.0,0.65,0.32,17.74
Brazil,96.61,2.56,92.13,100.0,0.65,0.28,20.83
Canada,96.53,2.63,91.53,100.0,0.65,0.24,20.13
Colombia,96.64,3.5,88.22,100.0,0.65,0.29,17.17
Costa Rica,96.4,2.96,90.74,100.0,0.65,0.29,16.7
Czech Republic,97.4,2.7,92.39,100.0,0.65,0.27,19.39
Denmark,97.32,2.66,89.56,100.0,0.65,0.3,16.7
Egypt,97.15,1.9,94.04,100.0,0.65,0.31,18.83
England,96.65,3.13,90.82,100.0,0.65,0.28,17.78
France,96.46,3.02,89.1,100.0,0.65,0.33,18.04
Germany,96.28,3.04,88.25,100.0,0.65,0.27,19.61
Hungary,97.24,2.73,89.05,100.0,0.65,0.35,19.22
Iran,96.48,2.08,92.84,100.0,0.65,0.28,17.17
Italy,97.36,2.44,91.83,100.0,0.65,0.32,20.26
Japan,98.04,2.72,87.98,100.0,0.65,0.23,21.83
Mexico,96.36,2.78,88.55,100.0,0.65,0.32,17.22
Morocco,96.99,3.05,89.34,100.0,0.65,0.28,17.43
Netherlands,96.12,4.12,85.37,100.0,0.65,0.26,18.52
New Zealand,97.21,2.39,93.06,100.0,0.65,0.3,17.78
Nigeria,96.69,3.16,89.48,100.0,0.65,0.28,19.87
Poland,96.63,2.31,92.36,100.0,0.65,0.24,16.26
Portugal,96.18,2.45,90.07,100.0,0.65,0.32,17.74
Romania,96.03,3.18,87.85,100.0,0.65,0.34,19.74
Saudi Arabia,96.99,2.64,90.66,100.0,0.65,0.31,18.35
Senegal,96.99,3.28,89.09,100.0,0.65,0.28,18.57
South Africa,96.51,2.64,89.12,100.0,0.65,0.31,18.22
South Korea,96.06,5.13,75.78,100.0,0.65,0.31,18.48
Spain,97.05,2.46,91.32,100.0,0.65,0.31,17.3
Sweden,96.64,2.96,88.92,100.0,0.65,0.33,20.83
Switzerland,98.04,1.99,93.49,100.0,0.65,0.23,18.91
Tunisia,97.48,2.81,90.27,100.0,0.65,0.24,16.74
United Arab Emirates,97.79,1.9,93.92,100.0,0.65,0.26,18.52
United States,96.21,3.72,87.34,100.0,0.65,0.28,18.17
Uruguay,98.1,1.94,92.24,100.0,0.65,0.27,19.74
