team,Avg_Energy,Min_Energy,Max_Energy,Energy_Variance,Avg_Injury_Risk,Avg_Form,Matches_Played
Argentina,80.91,68.0,89.4,5.24,0.29,-0.16,19.57
Australia,80.66,69.5,89.4,5.49,0.29,-0.4,19.61
Austria,80.6,72.3,92.5,4.75,0.29,-0.41,19.39
Belgium,80.6,72.1,89.5,4.89,0.32,-0.35,17.74
Brazil,81.98,74.4,90.9,4.03,0.28,-0.04,20.83
Canada,82.72,70.9,90.9,4.98,0.24,-0.08,20.13
Colombia,81.57,75.1,91.3,4.87,0.29,0.02,17.17
Costa Rica,81.58,72.2,89.6,4.18,0.29,-0.02,16.7
Czech Republic,83.39,77.3,91.5,3.92,0.27,0.31,19.39
Denmark,81.61,72.3,90.5,4.73,0.3,0.11,16.7
Egypt,80.8,73.8,88.2,3.61,0.31,0.02,18.83
England,81.7,71.3,91.3,6.01,0.28,-0.02,17.78
France,81.94,75.7,88.6,4.2,0.33,-0.06,18.04
Germany,82.88,74.2,91.2,4.52,0.27,0.05,19.61
Hungary,82.53,73.8,90.3,4.88,0.35,0.46,19.22
Iran,80.42,74.0,88.6,3.38,0.28,-0.29,17.17
Italy,82.33,73.3,90.1,3.87,0.32,0.23,20.26
Japan,83.0,75.3,88.1,4.09,0.23,0.04,21.83
Mexico,81.27,75.3,88.5,3.97,0.32,-0.17,17.22
Morocco,81.76,71.4,87.5,4.29,0.28,0.22,17.43
Netherlands,81.91,75.1,92.2,3.88,0.26,-0.18,18.52
New Zealand,82.09,77.3,87.8,2.87,0.3,-0.03,17.78
Nigeria,81.6,69.2,90.0,4.92,0.28,-0.11,19.87
Poland,82.17,75.5,90.7,4.41,0.24,-0.08,16.26
Portugal,81.2,71.6,89.0,4.02,0.32,-0.07,17.74
Romania,80.13,72.2,87.2,3.75,0.34,-0.28,19.74
Saudi Arabia,83.07,74.3,92.0,4.75,0.31,0.63,18.35
Senegal,82.79,74.8,89.8,3.47,0.28,0.2,18.57
South Africa,81.57,73.7,89.0,3.34,0.31,-0.11,18.22
South Korea,82.51,73.9,93.3,4.42,0.31,0.37,18.48
Spain,81.94,74.7,89.5,4.2,0.31,0.05,17.3
Sweden,82.26,73.0,88.6,4.14,0.33,0.15,20.83
Switzerland,82.97,74.9,87.8,3.66,0.23,0.12,18.91
Tunisia,83.32,71.2,91.4,5.19,0.24,0.17,16.74
United Arab Emirates,82.89,75.0,92.2,3.63,0.26,0.05,18.52
United States,81.88,70.8,90.8,4.59,0.28,-0.01,18.17
Uruguay,83.36,78.0,90.7,3.3,0.27,0.37,19.74
